SD,RS,GS_Base_ICL,GS_Base_SFT,GS_Chat_ICL,GS_Chat_SFT,RS_Len_Base,RS_Len_Chat,OOV_RS_Base,OOV_RS_Chat,Novel_RS,OOV_SD_Base,OOV_SD_Chat,R-L_Base_ICL,R-L_Base_SFT,R-L_Chat_ICL,R-L_Chat_SFT,Medical_Words_SplitMoreThan1,Medical_Words_SplitMoreThan3,Medical_Words_SplitMoreThan1_SD,Medical_Words_SplitMoreThan3_SD,CSr__Base_ICL,CSr__Base_SFT,CSr__Chat_ICL,CSr__Chat_SFT
Fire Burn gives stain at stomach during my childhood and that is directly surrounded around the stomach button. and this matter was occurred past 15 years back. Do there is any therapy or remedy?,can an old burn mark be removed from the stomach?,What are the causes of abdominal pain and swelling?,What are the treatments for stomachburn?  How can I care for my stom,"What are the treatments for stomach burns?

Note: The words in bold",What are the treatments for stomach stains caused by fire?  and what are the,13,13,0.0,0.0,0.7,0.1666666666666666,0.1666666666666666,0.1052631578947368,0.0869565217391304,0.1818181818181818,0.1666666666666666,0.25,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0
"SUBJECT: TORCH  INFECTION. MESSAGE: I have torch infection in my body please suggest me. What can I do..  My first baby was very injured..two big hole in heart  and  no wolv,  now my baby no more.. Plz suggest me ... If I will pregnant and it's sure my baby will b born healthy ?",How can a woman with torch infection have a normal baby?,"What is TORCH infection, and how can it be treated?",How is torch infection inherited?  What are the inheritance patterns of torch infection?,"Can I prevent TORCH infection during pregnancy, and will my baby be born health",What are the treatments for torch infection and how is it transmitted? What are the,14,14,0.2,0.2,0.4545454545454545,0.1395348837209302,0.1395348837209302,0.1904761904761905,0.2499999999999999,0.32,0.1538461538461538,0.25,0.0,0.4545454545454545,0.0,0.0,0.4,0.0,0.4
"SUBJECT: MRI versus CT scan for TBI/consciousness/S100B. MESSAGE: For adult patients:  Following a TBI what is considered most  conclusive for damage: MRI, MRI with contrast, CT, CT with contrast. Also, do you think whether a person losses consiousness is given too much credence for evaluating a TBI? How long is a S100B able to detect damage following a TBI? Do you yhink this is a valid test for E.D. immediately following injury?  If so, why is it not done, ignorance or expense? Could a patient demand it be drawn?  Thank you",What are the most reliable tests for diagnosing TBI?,What is the best imaging modality for TBI?,"What are the latest research findings on MMR, MMR with contrast, CT, CT with","What is the most conclusive imaging test for TBI damage?
##
Query 4",What is the definitive imaging modality for TBI and S100B? What,12,12,0.125,0.125,0.6666666666666666,0.125,0.125,0.4705882352941176,0.2608695652173913,0.5714285714285715,0.3999999999999999,0.3333333333333333,0.0,0.1851851851851851,0.0,0.0,0.0,0.0,0.0
SUBJECT: Low Potassium. MESSAGE: I have been taking Melitonion to help me sleep. My PC has prescribed 20 meq of potassium for low potassium level.  He has since increased it to 40 MEQ as my potassium level is still under the normal levels. Should I stop taking the Melitonin to help me get to sleep at night.,Should I stop taking melatonin if I am taking potassium?,What are the treatments for low potassium?,How do I stop taking melatonin to help me get to sleep?  I have low pot,"What are the effects of low potassium levels on the body, and how can they be treated",Should I stop taking melatonin if I have low potassium?  Should potassium,15,15,0.1111111111111111,0.1111111111111111,0.7,0.1666666666666666,0.1666666666666666,0.1176470588235294,0.3846153846153846,0.074074074074074,0.7272727272727272,1.0,0.0,0.4375,0.0,0.0,0.4,0.0,0.6666666666666666
"SUBJECT: MMR second dosage by mistake. MESSAGE: my daughter got the MMR vaccination at 1 year old, then she got a second dosage by mistake after two weeks froim the first one. is this dangerous to her> Is there anything I can do?",Are extra doses of MMR vaccine harmful to infants?,Is an extra dose of MMR vaccine harmful?,What are the side effects of extra dose of MMR vaccine?  What are the,Is an extra dose of MMR vaccine harmful?,"15 months after the first dose of MMR vaccine, my daughter received a second",16,16,0.5,0.5,0.8888888888888888,0.1714285714285714,0.1714285714285714,0.7058823529411765,0.5217391304347826,0.7058823529411765,0.3478260869565217,0.75,0.0,0.4545454545454545,0.0,0.0,0.0,0.0,0.0
"SUBJECT: time of results. MESSAGE: When a person start halt sildenafil...How long before their breathing, shortness of breath, &fatigue issues go back to normal..?",How long do sildenafil side effects last?,How long does it take for sildenafil to wear off?,How long does sildenafil take to clear from the body?  What are the side effects,How long does it take for sildenafil side effects to resolve?,"When can breathing, shortness of breath, & fatigue issues go back to normal after s",11,11,0.1666666666666666,0.1666666666666666,0.7142857142857143,0.0625,0.0625,0.3529411764705882,0.4545454545454545,0.5555555555555556,0.0,0.25,0.25,0.4285714285714285,0.0714285714285714,0.6666666666666666,0.5714285714285715,1.0,0.0
SUBJECT: Carbon dioxide. MESSAGE: What can happen if your level of carbon dioxide in your blood is up to 50? What things can starting changing in your body if it reaches over 50.,How do incresing  levels of carbon dioxide affect the human body?,What are the risks of high carbon dioxide levels?,What are the effects of high carbon dioxide levels?  What are the normal ranges for carbon,What are the effects of high carbon dioxide levels in the blood?,50 CO2 in the blood is harmful? What are the symptoms of high CO2,17,17,0.2,0.2,0.7272727272727273,0.0714285714285714,0.0714285714285714,0.3,0.2962962962962963,0.3478260869565217,0.08,0.1666666666666666,0.0,0.4444444444444444,0.0,0.28571428571428575,0.25,0.25,0.0
SUBJECT: Alpha 1 normal ranges. MESSAGE: Hi I was wondering if you could help me. I am a student in which I have to complete a case study on a patient with severe COPD. The patient's alpha 1 ant-trips sin level is 1.33. I am aware the normal ranges is 0.075-0.15g/L. Does this mean this patient has the genetic disease? Thanking You [NAME],Are high levels of Alpha-1 Antitrypsin related to COPD or genetic disorders?,What is the normal range for alpha 1 antitripsin?,What are normal ranges for alopecia 1 antibodies?  How is alope,"Can a high alpha 1 antitrypsin level indicate COPD?
##","1.33 Alpha 1 ant-trips sin levels are in the high ranges,",24,24,0.3,0.3,0.75,0.06,0.06,0.1818181818181818,0.1666666666666666,0.4545454545454546,0.1538461538461538,0.4285714285714285,0.1428571428571428,0.2272727272727272,0.0,0.0,0.0,0.4615384615384615,0.37499999999999994
"SUBJECT: streched or torn tendons/ left leg. MESSAGE: I have torn or streched tendons in my wrist,or ankle,before.The one incident ended up having to be corrected through an OP.The cartilegde known as Discus Triangulares grew back wrong and the scarred tissue,pushed on a nerve,causing my hand and arm to go numb.          My question concerns a fall I had about 5 weeks ago.In this fall,I hurt my left wrist,and leg,my wrist took about 3 weeks to heal up,and no longer bothers me.My left leg,however,is still bothering me.Is it possible that I tore something that is pinching a nerve in my leg??While standing,for prolonged intervals my upper thigh tingles,as if my leg has gone to sleep.The front and side of my thigh are tender to touch,(as if I burnt myself badly,or someone hit me with something real hard.)The original pain I had,was in the back of my knee.I know that a tendon takes 8 weeks or more to heal,it has now been almost 6 weeks.",Why is my thigh hurting and getting numb six weeks after a fall?,What are the treatments for a torn tendon?,What are the prognosis and recovery time for wrist and leg injury?  What are the,Can a torn or stretched tendon in the wrist or leg cause nerve pinching,What are the symptoms of leg tendonitis and how is it treated? How long does it,17,17,0.25,0.25,0.4615384615384615,0.1461538461538461,0.1461538461538461,0.0952380952380952,0.0714285714285714,0.074074074074074,0.0689655172413793,0.3333333333333333,0.0,0.3846153846153846,0.0,0.0,0.0,0.0,0.0
"SUBJECT: INTESTINAL OBSTRUCTION WITHOUT SURGERY. MESSAGE: From Our Family, 35 years old female patient has been diagnosed adenocarcinoma with multiple metastases all over abdomen along with pancreatic tail bulky. Ovary and Uteruses has been removed. Patient has received TWO Cycles of Chemotherapy presently at 3rd Stage and is admitted with intestinal obstruction pancreas. Please Suggest for Intestinal Obstruction without Surgery. Please Reply Urgently.",Are there any non-surgical treatments for intestinal obstruction in a patient with metastatic cancer?,What is the treatment for intestinal obstruction?,What are the latest treatments for intestinal obstruction?  What are the latest,How can intestinal obstruction be treated without surgery?,35 year old female patient with stage three adenocarcinoma with metastases in,25,25,0.3333333333333333,0.3333333333333333,0.5,0.3846153846153846,0.3846153846153846,0.3636363636363636,0.3703703703703704,0.1739130434782609,0.1481481481481481,0.625,0.0,0.6774193548387096,0.1290322580645161,0.0,0.0,0.0,0.0
MESSAGE: I have been dignosed Bladder Cancer and in [DATE] surgery Radical cystoprostatectomy with bilateral PLND under EA/GA was done.I would like to know if the stoma closure is possible? Request to please guide me.,Can stoma be closed after radical cystectomy?,Is stoma closure possible after radical cystoprostatectomy?,What are the risks of bladder cancer surgery radical cystoproctomy with bil,Can stoma closure be done after radical cystoprostatectomy with bilateral pelvic,What are the options for stoma closure after cystoprostatectomy?  and What are,12,12,0.1666666666666666,0.1666666666666666,0.5714285714285714,0.3103448275862069,0.3103448275862069,0.4285714285714285,0.1052631578947368,0.5555555555555556,0.2105263157894737,0.4,0.2,0.6153846153846154,0.0769230769230769,0.4,0.0,0.3333333333333333,0.5
I have been diagnosed with bipolar and fibromialgia and have been told I cannot take lyrica with having been put on medication for bipolar as well as the issue with side affects. Is this true?,What drugs should not be taken with lyrica?,Can I take Lyrica with my other medications?,Are there drug interactions between fibromyalgia and bipolar disorder and lyrica?,Can I take Lyrica for fibromyalgia if I have bipolar disorder and,Can Lyrica be used for bipolar depression and fibromyalgia? What are,11,11,0.1428571428571428,0.1428571428571428,0.625,0.1818181818181818,0.1818181818181818,0.125,0.2105263157894737,0.1,0.1052631578947368,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
"SUBJECT: lithtrypsy complications. MESSAGE: lithotripsy performed 1986, [LOCATION], [NAME] hostile &defensive that it caused PMR &Giant Cell arteritis. Onset of autoimmune disease between 4 &8 hrs. later. Never worked again (Head &Neck surgeon). Still battling hypertension, arteritis, Inflammatory myositis (biopsy USC, [NAME]). Most Drs. know squat about autoimmune diseases &the trigger. Your info only",Can lithotripsy cause autoimmune disease?,What are the complications of lithotripsy?,How is lithotripsy performed?  What are the complications?  What are,Can lithotripsy cause autoimmune diseases like PMR and giant cell ar,What are the complications of lithotripsy? What are the treatments for them,13,13,0.5,0.5,0.4,0.4,0.4,0.1818181818181818,0.1333333333333333,0.625,0.1176470588235294,0.4,0.2,0.6774193548387096,0.064516129032258,0.0,0.0,0.4,0.0
SUBJECT: ClinicalTrials.gov - Question - general information. MESSAGE: I have a question about Lofexidine. do you have to be on suboxone and orbuprenorphine to use it and is it approved in the [LOCATION] yet?,Is lofexidine prescribed only in combination with suboxone or buprenorphine?,Is lofexidine approved in [LOCATION]?,Where can I get Lofexidine and is it approved in my area?  How can,"Can you tell me about lofexidine, including its use in opioid withdrawal",1) What are the contraindications for Lofexidine and 2) Where,22,22,0.3333333333333333,0.3333333333333333,0.6,0.08,0.08,0.4,0.1666666666666666,0.1818181818181818,0.1,1.0,0.5,0.5454545454545454,0.1818181818181818,0.0,0.0,0.0,0.0
SUBJECT: Raynauds Syndrome. MESSAGE: My sons middle toe turned white after being in his dorm for a few hours without heat. We were wondering why all his toes did not change colors.,What can cause one toe turn white after spending time in an unheated room?,What is Raynauds Syndrome?,How israynauds syndrom is inherited?  How israynauds syndrom,Can Raynauds Syndrome cause discoloration of only one toe?,What are the symptoms of Raynauds Syndrome and what are the treatments?,18,18,0.1538461538461538,0.1538461538461538,0.5714285714285714,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.3478260869565217,0.0769230769230769,0.2,0.0,0.3571428571428571,0.0714285714285714,0.0,0.0,0.4,0.0
"SUBJECT: Setraline side effects. MESSAGE: Hi, I am writing because I have been diagnosed with depression and have been treated with several different medications because of a serious side effect I get with sertraline.  They have given me a small dosage, 25mg a day,  I have tried with Celexa, Prestiq, Paxil, Cymbalta and they all make my legs shaky.  I get weak in my legs and I get a tingling sensation.  My legs hurt and get a tingling sensastion.    Why do I get this side effect?  Is there something else I can take??  I was also wondering if it has to do with any other medications that I take.  Sometimes I take dormicum for sleeping problems and Lorazepan.    Eagerly waiting for your comments",What antidepressants are not likely to interact with lorazepam and cause weakness and tingling in my legs?,What are the side effects of sertraline and what can I do to avoid them?,What are the side effects of sertraline and can it interact with dormicum and l,What are the common side effects of sertraline and how can I manage them?,What are the side effects of Sertraline?  Is there something else I can take?,28,28,0.25,0.25,0.5294117647058824,0.1047619047619047,0.1047619047619047,0.1875,0.3125,0.1935483870967742,0.1290322580645161,0.5714285714285714,0.2857142857142857,0.5161290322580645,0.064516129032258,0.0,0.0,0.0,0.0
"SUBJECT: Factor VII. MESSAGE: I have Glanzmans Thrombastinia which is a rare platelet disorder. I am concerned about invasive emergency surgery.  I have had minor surgeries and have bled profusely-even with pre-op meds of DDAVP and Amicar.. I understand Factor VII (or a drug to reduce or stop unnessary bleeding,if administered prior to surgery can alleviate bleeding problems in an invasive procedure. What drug(s) would you recommend and how readily available is the drug and how much does it cost. Thank You, E. W. [NAME]",What drugs are used to stop bleeding during surgery?,"What is Glanzman's thrombastinia, and what is the treatment for it?","What are the drug(s) that can stop bleeding, and how much does it cost?",What is the recommended drug to reduce or stop bleeding in invasive surgery for patients with Gl,What drugs are used to prevent bleeding during surgery for glanzmans thomastin,13,13,0.25,0.25,0.5555555555555556,0.25,0.25,0.0952380952380952,0.3333333333333333,0.4615384615384615,0.761904761904762,0.75,0.0,0.4615384615384615,0.0384615384615384,0.0,0.0,0.6,1.0
"SUBJECT: Gluten Inquiry. MESSAGE: My medication has been replaced due to discontinued of my prior manufacture.  I am wanting a response and definite answer if your corporation can give a statement in easing my thoughts on gluten free.  I take the Esterified Estrogens, Methyltestosterone full strength dark green table with 1490 labeled on it, I have looked up the ingredients and found an ingredient that shows gluten related. Can you please secure my worries and confirm if this medication is gluten free or if it does contain gluten. Thank you, R","Does Esterified Estrogens, Methyltestosterone contain gluten?","Is Esterified Estrogens, Methyltestosterone gluten free?","What are the ingredients of esterified estrogens, methyltestosterone","Is Esterified Estrogens, Methyltestosterone gluten free?",Is estradiol gluten free? Is methyltestosterone gluten free?,18,18,0.5,0.5,0.8333333333333334,0.1875,0.1875,0.6666666666666666,0.4285714285714285,0.6666666666666666,0.2857142857142857,0.6666666666666666,0.1666666666666666,0.5,0.0384615384615384,0.0,0.0,0.0,0.0
"SUBJECT: Small head. MESSAGE: I am [NAME], 17 years old girl my head size is small then average.  Enough small that everybody can  notice.  My question is that wall it grow to average.  Or i have to face this throughout my life",Will a disproportionately small head in a 17 year old grow to normal size?,What are the treatments for small head?,How can I enlarged my head?  What are the treatments for small head size?,What are the causes and treatments for small head size?,Is head size genetic and can it grow?  Is there a treatment for small head?,21,21,0.0833333333333333,0.0833333333333333,0.3571428571428571,0.0294117647058823,0.0294117647058823,0.1904761904761904,0.2142857142857142,0.25,0.2068965517241379,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0
"loss of ability to Taste and Smell due to surgery that acut olifactory nerve. Can you recommend a group  to help a patient who has lost ability to taste and small, and who is profoundly depressed, has lost enormous amount of weight, has no interest in food and is virtually not eating, has no energy and I am afraid he will die of starvation if he does not get some help.  The various doctors involved are not helping.  He needs to think of food as medicine.  He must eat but hardly does.  Have you any suggestions.",Are there support groups for people who are depressed due to loss of senses of smell and taste? ,How can I locate a support group for patients with taste and smell disorders?,What are the treatments for loss of ability to taste and smell?  What are the treat,How can I find support for a patient with taste and smell disorders?,Where can I find support groups for patients who have had surgery on the olfactory nerve?,23,23,0.1764705882352941,0.1764705882352941,0.4444444444444444,0.1162790697674418,0.1162790697674418,0.25,0.2941176470588235,0.1935483870967742,0.2352941176470588,0.375,0.0,0.2666666666666666,0.0,0.0,0.0,0.0,0.22222222222222224
"SUBJECT: thick blood. MESSAGE: When I was young, my hct and hgb were low normal.  Now that I am 68, my hct is high normal and my hgb is high (18).  Why/how has my blood thickened as I aged?  What can I do to thin my blood?",What causes the blood thicken with age and what are the treatments?,"""What can I do to thin my blood?""",What are the treatments for high blood pressure?  What are the treatments for low blood pressure,"How does aging affect blood thickness, and what are the potential treatments?",What are the causes and treatments for thick blood?  What are the treatments for thick blood,15,15,0.0909090909090909,0.0909090909090909,0.5833333333333334,0.1351351351351351,0.1351351351351351,0.2,0.5,0.5,0.5,0.4,0.0,0.2857142857142857,0.0,0.4,0.5,0.5714285714285715,0.6666666666666666
"MESSAGE: dear doctor i am 22 years old stident from Bhutan , presently studying in India. how ong does it take to develope a tseticular cancer? is this curable? can i have a baby in future? ll this ffect my fertility after the treatment?","What are the course, treatment and outlook for testicular cancer?",How long does it take to develop testicular cancer and is it curable? ,How is tetracycline cancer cured? Is tetracycline cancer cured,"How long does it take to develop testicular cancer, is it curable, and will it affect",When can tseticular cancer appear? Is it cured and can I have children after treatment?,14,14,0.25,0.25,0.7,0.1944444444444444,0.1944444444444444,0.1739130434782608,0.1052631578947368,0.1538461538461538,0.08,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.6666666666666665
"SUBJECT: fever. MESSAGE: I have had a fever in the evenings only since {DATE], it is gone in the morning then resurfaces around 4pm. I babysit for my grandkids during the week, I went to the clinic and they just said it was a cold.  Lung are fine, no head congestion. So I would like to know if I am contagious to my grandkids, so I can start sitting again.",Is a cold without congestion contagious?,Is it safe to babysit with a fever?,How is fever contagious?  How is fever treated?  How is fever,Can a fever at a specific time of day be a sign of an infection?,Is fever contagious? Is it contagious through sneezing? Is it,11,11,0.2,0.2,0.5,0.135593220338983,0.135593220338983,0.2857142857142857,0.2352941176470588,0.0952380952380952,0.25,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.0
"""SUBJECT: BREATHLESSNESS. MESSAGE: I am 77  , nown case of dibetes 2 & BP both under control with Medication viz Amryl M -1mg ( Sanofi) twice a day & Benitech A for BP .HbA1c being around 5.8-6.2 , sugar fasting around 80-90 , but PP is above 175 to 225, Bp is normal 140/75,pulse 50-64.However Amylase & Lipase are around 150. My TMT and Ultrasound Abdomon are normal , Chest X ray is clear I am 5'6"""" , wt -70kg , girth at navel 40"""" These days I am feeling problem of Breathlessness, even on slight exertion , I can walk but only at a very slow pace. Pl. advise can it be on account of any problem with my lungs pl & symptoms/tests for same  These days""",What causes shortness of breath on light exertion? ,What are the causes of breathlessness?,What are the lung tests for diabetes?  What are the symptoms of diabetes,What are the causes of breathlessness?,What are the symptoms of breathlessness on lung? What are the breathing test for breath,13,13,0.1428571428571428,0.1428571428571428,0.5,0.2258064516129032,0.2258064516129032,0.4285714285714285,0.1904761904761905,0.4285714285714285,0.2608695652173913,0.3333333333333333,0.0,0.4333333333333333,0.0666666666666666,0.0,0.0,0.0,0.0
"SUBJECT: Loss of sense of taste. MESSAGE: I have not been able to taste most foods for over a year ( I am 54 and in good health for the most part, I do not have a loos of sense of taste and do not have gum disease.) either due to using a vaperizor where the fluid leaked and got on my throat or where my smoking did.  I am also Hypothyroid classified with Hashimots's.  I am at my breaking point and need something medically to fix this.  Is there such a medicine?  No one will help me it seems. Thanks, [NAME]",Could loss of taste be restore in a smoker with Hashimoto's disease? ,What are the causes of loss of taste?,What are the treatments for loss of taste?  What are the treatments for loss of sm,What are the causes and treatments for loss of sense of taste?,What are treatments for loss of sense of taste?  Is there a medication that can treat,19,19,0.1,0.1,0.4166666666666667,0.125,0.125,0.2857142857142857,0.2068965517241379,0.24,0.2758620689655172,0.2,0.0,0.3461538461538461,0.0,0.0,0.0,0.0,0.0
"I'm 53 years old. I have got  meniscus tear after a twist. My MRI reports  that I  have got: 1. Bucket handle tear involving entire length of lateral meniscus which otherwise appears to have discoid configuration. 2. complex tear involving posterior horn and posterior root of medial meniscus,  along with formation of few small parameniscal cysts. I am doing all activities without any problem. I have no swelling . I get pain at times for 2 or 3 min.  Sometimes even after 4 or 5 days or after a week. sometimes 2 or 3 days consecutively.  In June, I twisted my right knee.  During this period I was even without pain for 10 days or 2 weeks. Kindly advise me . ",Should I leave a meniscus tear untreated if it does not cause problems?,What is the best treatment for a meniscus tear?,What are the prognosis and recovery for knee surgery?  What are the progn,"What are treatment options for meniscus tears without swelling or pain?
##

Please",What are the symptoms of meniscus tear and how is it treated? What are the,19,19,0.25,0.25,0.6923076923076923,0.1489361702127659,0.1489361702127659,0.2727272727272727,0.0,0.16,0.2142857142857142,0.75,0.0,0.2894736842105263,0.0,0.28571428571428575,0.0,0.5,0.3333333333333333
"I am experiencing a tapeworm infection that I think has gone beyond my intestines and is in my muscle now. After taking a dose of the worm medicine (Praziquantel), I believe I’m an still infected. My body is now fighting skin ulcerations I believe to be from the parasite in my muscle. I’ve been trying to address that as I don’t think the Rx I took was enough to rid me of the infection. My doctor is at a loss for knowing how to treat me and the referrals I’ve received and numerous calls I’ve made are always dead ends here in the Houston Tx area. Can you please help me? I would like some information as to how to best be completely rid of this parasite infection. I will greatly appreciate your assistance and or a solid referral to someone who is treating patients for parasites. I have good pics and hopefully someone can identify the exact tapeworm I’m infected with and explain protocols for ridding them from all parts of my body.",How can I find a specialist who will cure my tapeworm infection?,What are the treatments for tapeworm infection?,How can I get completely rid of tapeworms?  What are the treatments for,How can I completely rid myself of a tapeworm infection?,How is tapeworm infection treated and what are the treatments for skin ulcerations,19,19,0.2727272727272727,0.2727272727272727,0.5,0.1265822784810126,0.1265822784810126,0.2105263157894737,0.32,0.5454545454545454,0.24,1.0,0.3333333333333333,0.3783783783783784,0.054054054054054,0.5,0.0,0.5,0.3333333333333333
"It is unfortunate to say that my father was affected by AML M1 and  we got  to know a month ago and his age is 52. Initially he  had a blast cells percentage of 76% and later after the first cycle blast cells dropped down to 4%. After two weeks of rest, he had undergone first consolidation out of three with High intensity Ara-C and today he was discharged after one week of treatment. My father's doctor said that there will be two more cycles with a gap of 28 days in between. As chemotherapy has side effects I would like to go for ayurvedic treatment as well in order to support my father's condition. I'm unable to understand whether to take further step and go for ayurveda as I'm not aware of any proved cases. Please suggest me whether to go for ayurveda and are there any such cases recorded to keep  the disease in complete remission.",Is there an ayurvedic treatment for Acute myeloblastic leukemia with minimal maturation?,Is there any evidence that ayurvedic treatment can help with AML?,"What are the latest research on AML M1, and what are the latest research on ayur","Can ayurvedic treatment be used in addition to chemotherapy for AML M1,",What are the treatments for AML M1 and how can ayurveda be used to,25,25,0.3636363636363636,0.3636363636363636,0.5,0.0845070422535211,0.0845070422535211,0.4347826086956521,0.0,0.25,0.1538461538461538,0.6666666666666666,0.1666666666666666,0.21875,0.03125,0.5,0.0,0.42857142857142855,0.2
"Do they still use cow bone for a L5-S1 fusion, or what are the options. The disk is bulging and herniated and had to go.  Please advise. ",What bone graft materials are used for spinal fusion?,What is the procedure for a L5-S1 fusion?,What are alternatives to L5-S1 fusion?  What are alternatives to L5-S,"What are the options for spinal fusion surgery, including non-human materials?",What are the options for L5-S1 fusion?  What are the latest treatments and,13,13,0.375,0.375,0.6666666666666666,0.1363636363636363,0.1363636363636363,0.3333333333333333,0.2727272727272727,0.4761904761904762,0.3478260869565217,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
I have herpes simplex virus I want to be cured ,What treats herpes simplex?,Can herpes simplex virus be cured?,What are the treatments for herpes virus?  What are the treatments for herpes virus,How can I cure herpes simplex virus?,What are the treatments for herpes simplex virus?  What are the treatments for her,8,8,0.6666666666666666,0.6666666666666666,0.75,0.3,0.3,0.4,0.2222222222222222,0.3636363636363636,0.3333333333333333,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
"I have Pulsatile Tinnitus for more than 12 years . I am a girl of 24 years and live in Pakistan. Doctors here, didn't recognize the problem. And now I have mild hearing loss and tinnitus also along with pulsatile tinnitus . it  interrupts my daily life and doesn't let me sleep at night time. Please sir help me , tell me how can I abolish my pulsatile tinnitus because I am now bothered and depressed so much",Is there a cure for pulsatile tinnitus?,What are the treatments for pulsatile tinnitus?,What are the treatments for pulsatile tinnitus?  How can I stop p,What are the treatment options for pulsatile tinnitus?,What are the treatments for pulsatile tinnitus? How can I get help for,14,14,0.3333333333333333,0.3333333333333333,0.4285714285714285,0.1940298507462686,0.1940298507462686,0.4285714285714285,0.3157894736842105,0.3999999999999999,0.3,1.0,0.5,0.4,0.1,0.6666666666666666,0.6666666666666666,1.0,0.5
where on site does it tell how diabetes and neuropathy causes other things like neck and knee pain and other ailments,What can diabetic neuropathy lead to?,What are the symptoms of diabetes?,How does diabetes and neuropathy cause neck and knee pain and other ail,How does diabetes cause neck and knee pain?,"Where can I find information on diabetic neuropathic pain, including neck and knee",12,12,0.4,0.4,0.8333333333333334,0.1904761904761904,0.1904761904761904,0.3333333333333333,0.2105263157894736,0.1428571428571428,0.2105263157894736,0.6666666666666666,0.3333333333333333,0.5714285714285714,0.1428571428571428,0.0,0.0,0.0,0.0
Should I have ultrasound on left shoulder.  I have a defribulator (left side)? I look forward to your advice. Thank you very much.,Is it safe to have ultrasound with a defibrillator?,Should I have ultrasound on left shoulder?,Where can I get ultrasound on my left shoulder?  What are the risks?,Should I have an ultrasound on my left shoulder due to a defibrillator on the,Should people with defibrillators undergo ultrasound on the shoulder?  Should people with,15,15,0.125,0.125,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.25,0.0909090909090909,0.3333333333333333,0.1904761904761905,1.0,0.5,0.1428571428571428,0.0,0.8571428571428571,0.7499999999999999,0.8571428571428571,0.7499999999999999
Recently diagnosed with PBC and would like to see new readership or drugs  for this disease.,What are the recommended treatments for primary biliary cholangitis (PBC)?,What is the latest research on and treatments for primary biliary cholangitis (PBC)?,What are the latest treatments for pbc?  What are the latest readings on pbc,What are the latest developments and treatments for primary biliary cirrhosis (P,What are the latest treatments for PBC? What are the latest treatments for PBC?,19,19,0.3333333333333333,0.3333333333333333,0.9,0.3333333333333333,0.3333333333333333,0.6956521739130435,0.5,0.6363636363636365,0.5,0.6666666666666666,0.1666666666666666,0.5,0.0,0.7272727272727272,0.5714285714285715,0.33333333333333337,0.5714285714285715
I am looking for information regarding post concussion syndrome and occipital/trigeminal neuralgia.  I had a couple of concussions when I was a child and now have both neuralgias.,Is there a link between the post-concussion syndrome and occipital and trigeminal neuralgias?,What is the relationship between post concussion syndrome and occipital/trigeminal neuralgia?,Where can I find information on post concussion syndrom and occipital/trigem,Can post-concussion syndrome lead to occipital/trigeminal neuralgia?,What are the symptoms of post concussion syndrome and how is it related to occip,24,24,0.2727272727272727,0.2727272727272727,0.5384615384615384,0.12,0.12,0.6923076923076924,0.3846153846153846,0.5217391304347826,0.3448275862068965,1.0,0.0,0.6363636363636364,0.0,0.6666666666666666,0.28571428571428575,0.6666666666666666,0.28571428571428575
"Good day; I would like to know who to contact for treatment of atopic eczema or if you know any clinic that can help me, I know someone who suffers from it and I would like to help her improve the disease. Thank you in advance Regards",Can you help me find a clinic that specializes in treatment for atopic eczema?,How can I find a doctor who treats atopic eczema?,How can I find physician(s) or clinic(s) who specialize in at,How can I find a dermatologist or clinic for treating atopic eczema,"Where can I find information on treatments for atopic eczema, and how can I",21,21,0.2307692307692307,0.2307692307692307,0.2857142857142857,0.1136363636363636,0.1136363636363636,0.4166666666666666,0.3703703703703704,0.5384615384615384,0.4285714285714285,0.5714285714285714,0.0,0.3636363636363636,0.0,0.0,0.2857142857142857,0.2222222222222222,0.2222222222222222
